Russia needs to protect access to Tartus. Likely facility will expand under Russian presence in Syria now. https:\/\/t.co\/m4HuI0HKjg,Canada
"@PressSec '..Russia's Pres. Putin requested meeting w- Pres. Obama, who looks forward to gaining insight into Russia's intentions in Syria'",N/A
"Putin-Obama meeting set by \""mutual agreement\",Jerusalem
"RT @felix_carletta: Gulf Arabs still bent on Assad ouster, oppose Russia role in Syria http:\/\/t.co\/iU6qIaAQk1 #sun #GoogleNews #AlJazeera",N/A
"[ynetnews Breaking] Putin-Obama meeting set by \""mutual agreement\",Irkutsk
"RT @IsraelNewsNow: Putin Nods on Air Force Hot Line with Israel, Is Unyielding on Total Partnership with Iran in Syria http:\/\/t.co\/QKeTk2HY\u2026",Canada
RT @Levitt_Matt: Pentagon denies U.S.-trained rebels defected to Al Qaeda affiliate in Syria http:\/\/t.co\/601MELSq5G,Canada
Jaish al-Islam declares war on Russians fighting in Syria  https:\/\/t.co\/0aWgQIYec1 via @sharethis,Zagreb
You mean the counter-ISIL operations Russia is all ready engaged in? Without us?  https:\/\/t.co\/8lFB7uzC9e,Canada
DATA: Who is killing civilians in Syria?  https:\/\/t.co\/t5FwfJPe7W #refugeeswelcome,Brussels
"[Ynetnews] Putin-Obama meeting set by \""mutual agreement\",London
"Putin-Obama meeting set by \""mutual agreement\",USA
"RT @discjocke52: RE: Will #Ukraine pay the price for US-Russia negotiations on Syria? \""Obama will pull a Chamberlain\"" http:\/\/t.co\/A5MSVok3g\u2026",Canada
"RT @UN: As Syria\u2019s armed conflict grows, @WHO aid to the region is unrelenting. More info here: http:\/\/t.co\/EmTr3uYSUU http:\/\/t.co\/aZMcKRBz\u2026",Canada
"RT @HeatherMoAndCo: #Syria before &amp; after. \nAnyone who refers to #SyrianRefugees as \""migrants\"" at this point, is a total asshole #cdnpoli h\u2026",Canada
#RUSSIA - #Putin Said To Be Willing To Go It Alone With #Airstrikes In #Syria |FREE #DDNCs delivered  daily @ https:\/\/t.co\/UYlM5DiC3F,Canada
RT @AliTahmizian: The last moments of an Uzbek suicide bomber in Syria \n\nhttp:\/\/t.co\/UCfN7PbBiZ http:\/\/t.co\/4YzNfWAoNv,Athens
RT @aron_ld: Putin hopes to steal UN show with #Syria-focused speech http:\/\/t.co\/HTq93Qv2yg by @visachenkov #Russia,Stockholm
"RT @Doranimated: Note the tense. Kerry: Russian jets in Syria \""could raise questions\"" - sometime in the future, maybe, not now | http:\/\/t.c\u2026",N/A
"Russia's military intervention in Syria,\u00a0explained http:\/\/t.co\/LUPwux9JLa",Canada
"RT @AmNewsWatch: Putin-Obama meeting set by \""mutual agreement\",Canada
Maryam Rajavi\u2019s 10-point plan must be supported: Elisabetta Zamparutti http:\/\/t.co\/JL4Blm14no #Syria #FOX #iraq,N/A
Syria: Obama's War from Within http:\/\/t.co\/xcRxqr09pP #14A\u2764#ProLife #DefundPP\u2620@Senate_GOPs\u2702#19T #PopeInDC #trcot #rush #ycot #tcot,Canada
"RT #jokpeme \""European Leaders Meet To Develop A New Strategy For Syria http:\/\/t.co\/LPgUx2nnkd http:\/\/t.co\/rV5zJJmpJW\""",Belgrade
European diplomats mull new strategy to end Syria fighting http:\/\/t.co\/5Ixivl7yCk,N/A
"RT #jokpeme \""The Islamic State Has Executed More Than 10,000 People In Iraq And Syria Since June 2014 \u2026 http:\/\/t.co\/E6T3fjkYqS\""",Belgrade
"RT #jokpeme \""Are U.S. Special Forces Operating In Syria? http:\/\/t.co\/qZfgM5QjV4 http:\/\/t.co\/WnOWmrgP1t\""",Belgrade
"RT @WSJ: \""Barrel bombs are the single biggest contributor to displacement in Syria now\"" http:\/\/t.co\/l9696aIimN http:\/\/t.co\/v5u78Fs6u1",Canada
@madest LOL Obama lies. Keep drinking the kool aid! Obama lost Iraq and losing Syria to Putin. http:\/\/t.co\/0J3HkKkTh7,AmericaChicago
RT @PHammondMP: Discussed #Syria with @LaurentFabius. Agree urgent need to tackle causes of refugee crisis at Valletta conference. http:\/\/t\u2026,Canada
@ZakaWaqar I have some money I need to give to you for the Syria project... Please let me know the way so I can get it to you asap.,Alaska
".@PressSec: Obama last spoke to Putin in July after Iran deal, UNGA - 1st opportunity to sit down in formal way to discuss #Ukraine, #Syria",Canada
What would it take to bring #peace to #Syria? @WorldVisionUSA policy advisor @_stephhammond tackles the big question: http:\/\/t.co\/tdwTi5duQP,Canada
"RT @joshua_landis: 'Iran, Russia, China, Syria plan 'largest' war game' \n - http:\/\/t.co\/zIQJcUQ7go from Jpost http:\/\/t.co\/n4LW2b4Kmw",Canada
@schake1337 @AmirTaheri4 @France24_en #Syria not its president must be put first. #Putin's loyalty to #Assad is killing #Syrians.,Canada
RT @DailySabah: Will the US use child fighters in Syria? - by Melih Alt\u0131nok @melihaltinok | DS Column http:\/\/t.co\/94TZ3e93ek http:\/\/t.co\/8p\u2026,Istanbul
RT @TheArabSource: Breaking: Syrian Army Captures the #Palmyra-Teefor Airbase Road http:\/\/t.co\/tXsLEBl368 #ISIS #Syria http:\/\/t.co\/xdJ84ZF7\u2026,Canada
"RT #jokpeme \""European Leaders Meet To Develop A New Strategy For Syria http:\/\/t.co\/GVf3b8ch9l http:\/\/t.co\/rkhhgKfQFI\""",N/A
"RT #jokpeme \""The Islamic State Has Executed More Than 10,000 People In Iraq And Syria Since June 2014 \u2026 http:\/\/t.co\/Cea5dIvht5\""",N/A
"RT #jokpeme \""Are U.S. Special Forces Operating In Syria? http:\/\/t.co\/5DcUydTjJw http:\/\/t.co\/GGf9bx8LmJ\""",N/A
"RT @McFaul: Ukraine, not Syria, must be at the top of the agenda for Obama-Putin meeting.",Canada
DATA: Who is killing civilians in #Syria?  https:\/\/t.co\/k7Ohho4GrX #refugeeswelcome,London
"WE DON'T CARE ABOUT SYRIA AND IRAQ OR WHAT EVER.\nWE ARE MOSLEMS,WE JUST KNOWN ISLAM.\nNO! NATIONALISM IN ISLAM.\nUP ISLAMIC STATE,UP ISIS",N/A
